name,scifi_name,diet,activity,lifespan,weight,status,kingdom,phylum,class,order,family,genus,species,founded_countries_count
Valley Bulldog,Canis lupus familiaris,Omnivore,Diurnal+,11 years,40 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Found in 1 state/province
Vampire Bat,Desmodus rotundus,Sanguivore,Nocturnal+,9 years,0.04 lbs,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,rotundus,Found in 22 countries
Vampire Crab,Geosesarma dennerle,Omnivore,Crepuscular+,2 years,,,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Geosesarma,dennerle,Found in 1 country
Vampire Squid,Vampyroteuthis infernalis,Detritivore,Cathemeral,8 years,,,Animalia,Mollusca,Cephalopoda,Vampyromorphida,Vampyroteuthidae,Vampyroteuthis,Vampyroteuthis infernalis,
Vaquita,Phocoena sinus,Carnivore,Cathemeral,20 years,55 lbs,Critically Endangered,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,sinus,Found in 1 country
Veery,Catharus fuscescens,Insectivore,Diurnal+,2 years,0.034 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscescens,Found in 44 locations
Vegavis,Vegavis,Piscivore,Diurnal+,3 lbs,,,Animalia,Chordata,Aves,Anseriformes,Vegaviidae,Vegavis,,Found in 1 country
Velociraptor,Velociraptor mongoliensis,Carnivore,Cathemeral,12 years,20 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Saurischia,Dromaeosauridae,Velociraptor,mongoliensis,Found in 1 country
Venus Flytrap,,Insectivore,Diurnal+,7 years,,,,,,,,,,Found in 2 states/provinces
Vermilion Flycatcher,Pyrocephalus rubinus,Insectivore,Diurnal+,3 years,0.014 lbs,Least Concern,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Found in 25 locations
Vervet Monkey,Chlorocebus pygerythrus,Omnivore,Diurnal,12 years,8 lbs,Least Concern,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,pygerythrus,Found in 19 countries
Vestal Cuckoo Bumblebee,Bombus vestalis,Nectarivore,Diurnal+,10 years,0.00035 lbs,Least Concern,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,vestalis,Found in 42 countries
Vicuña,Vicugna vicugna,Herbivore,Diurnal+,15 years,55 lbs,Least Concern,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,Found in 5 countries
Vine Snake,Colubridae,Carnivore,Diurnal,8 years,1 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Colubridae,,,Found in 60 countries
Vinegaroon,Order Thelyphonida (often treated within Uropygi),Insectivore,Nocturnal+,5 years,0.03 lbs,Not Evaluated,Animalia,Arthropoda,Arachnida,Thelyphonida,,,,Found in 46 countries
Viper,Viperidae,Carnivore,Nocturnal+,12 years,10 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Viperidae,,,Found in 102 countries
Viper Boa,Candoia aspera,Carnivore,Nocturnal+,10 years,1.2 lbs,Least Concern,Animalia,Chordata,Reptilia,Squamata,Boidae,Candoia,aspera,Found in 2 countries
Viper Shark (dogfish),Trigonognathus kabeyai,Carnivore,Nocturnal,,,,Animalia,Chordata,Chondrichthyes,Squaliformes,Trigonognathidae,Trigonognathus,Trigonognathus kabeyai,Found in 3 locations
Viperfish,Chauliodus,Carnivore,Nocturnal+,5 years,0.25 lbs,Least Concern,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Chauliodus,,
Virgin Islands Dwarf Gecko,Sphaerodactylus parthenopion,Insectivore,Diurnal+,3 years,0.0006 lbs,Not Evaluated,Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus parthenopion,Found in 2 countries
Vizsla,Canis lupus familiaris,Omnivore,Diurnal+,5 years,30 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Volcano Snail,Chrysomallon squamiferum,Herbivore,Cathemeral,,,,Animalia,Mollusca,Gastropoda,Neomphalida,Peltospiridae,Chrysomallon,squamiferum,
Vole,Cricetidae (primarily subfamily Arvicolinae),Omnivore,Nocturnal+,1 years,2 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,,,Found in 58 countries
Volpino Italiano,Canis lupus familiaris,Omnivore,Diurnal+,6 years,6 lbs,Not Evaluated,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Found in 1 country
Vulture,,Scavenger,Diurnal+,25 years,15 lbs,Not Evaluated,Animalia,Chordata,Aves,,,,,Found in 68 countries
