Movie Name,Box Office,Budget,Verdict
Thaai Kizhavi,69.0,18,Hit
With Love,32.0,8,Hit
Pookie,0.2,8,Flop
Manakantha ( Re Release),16.0,24,Blockbuster
Parasakthi,86.3,150,Flop
Thalaivar Thambi Thalaimaiyil,24.0,20,Hit
Vaa Vaathiyaar 2,12.0,60,Flop
The Raja Saab,202.0,400,Flop
Padayappa ( Re Release),12.0,5,All Time Blockbuster
Revolver Rita,4.0,8,Flop
Tere Ishq Mein,135.0,85,Hit
Kaantha,31.8,50,Flop
Aan Paavam Pollathathu,16.0,12,Hit
Aaryan,8.0,12,Flop
Dude,116.3,60,Average
Bison,62.2,30,Hit
Idly Kadai,70.65,100,Flop
Kantara Chapter 1 (Tamil),71.65,125,Blockbuster
Madharaasi,94.6,180,Flop
Coolie,515.9,400,Hit
Lokah: Chapter 1,295.35,105,Blockbuster
Thalaivan Thalaivii,82.0,25,Super Hit
Maargan,19.0,26,Flop
Kuberaa,138.45,130,Hit
ThugLife,84.75,210,Flop
Retro,98.9,160,Flop
Tourist Family,78.1,16,Super Hit
Sachein ( Re Release),13.6,6,Super Hit
Gangers,13.15,16,Flop
Good Bad Ugly,245.35,200,Hit
Veera Dheera Sooran Part 2,65.5,72,Average
L2: Empuraan,260.75,150,Hit
Dragon,147.5,55,Super Hit
Kingston,4.75,20,Flop
Nilavuku Enmel Ennadi Kobam,12.9,32,Flop
Vidaamuyarchi,144.25,185,Flop
Madha Gaja Raja,56.15,15,Super Hit
Kadhalikka Neramillai,9.75,15,Flop
Viduthalai Part 2,53.6,50,Average
Pushpa 2,1599.6,500,Blockbuster
Pushpa 2 (Tamil),80.08,500,Blockbuster
Amaran,325.9,130,Blockbuster
Maharaja (China),86.0,30,Super Hit
Kanguva,101.9,350,Disaster
Vettaiyan,250.95,300,Flop
Meiyazhagan,48.0,35,Hit
Devara Part 1,447.15,300,Hit
Greatest of All Time,459.0,400,Hit
Lubber Pandhu,34.0,8,Hit
Thangalaan,68.8,140,Disaster
Demonte Colony 2,49.2,30,Hit
Raayan,151.75,90,Hit
Indian 2,154.0,300,Disaster
Kalki 2898,952.0,620,Hit
Kalki (Tamil),44.0,620,Hit
Maharaja,188.0,30,Super Hit
Garudan,45.6,20,Hit
Inga Naan Thaan Kingu,7.2,12,Flop
Star,24.8,12,Hit
Aranmanai 4,96.0,40,Hit
Rathnam,16.45,40,Flop
Ghilli(Re-Release),30.0,8,All Time Blockbuster
Manjummel Boys,200.0,21,Blockbuster
Siren,15.0,15,Average
Laal Salaam,34.0,60,Flop
Vadakkupatti Ramasamy,14.0,12,Average
Captain Miller,72.95,60,Hit
Ayalaan,75.5,80,Flop
Salaar,624.4,400,Average
Annapoorani,4.0,8,Flop
Parking,4.0,8,Flop
80s Buildup,5.0,12,Flop
Jigarthanda 2,64.8,65,Average
Japan,28.5,80,Disaster
Leo,592.95,285,All time Blockbuster
Chandramukhi 2,52.1,65,Flop
Iraivan,20.5,28,Flop
Mark Antony,100.1,28,Super Hit
Jawaan (World),1068.0,300,Blockbuster
Jailer,605.0,200,Blockbuster
King Of Kotha,35.0,60,Flop
DD Returns,29.2,12,Hit
LGM,8.65,8,Average
Maaveeran,81.8,85,Average
Maamannan,71.5,25,Hit
Adipurush,410.0,500,Flop
Por Thozhil,28.0,8,Super Hit
Takkar,6.5,12,Flop
Veeran,8.0,8,Average
Kathar Basha Endra Muthuramalingam,6.5,8,Flop
Pichaikkaran 2,36.2,30,Hit
PS 2,342.65,250,Hit
2018,168.0,24,Block Buster
Rudhran,18.85,25,Flop
Vidhuthalai,48.0,25,Hit
Pathu Thala,35.25,35,Flop
Kabzaa (Tamil),0.95,120,Flop
Agilan,12.8,25,Flop
Vaathi,116.99,50,Hit
Dada,20.1,10,Hit
Michael,17.35,10,Average
Varisu,302.41,260,Hit
Thunivu,201.09,200,Hit
Sembi,3.01,15,Flop
Raangi,1.91,15,Flop
Laththi,18.95,25,Flop
Connect,9.17,22,Flop
Avatar 2 (Tamil),53.65,200,Hit
Naai Sekar Returns,8.0,15,Flop
Gatta Kusthi,26.69,25,Average
Love Today,94.64,18,Super Hit
Kalaga Thalaivan,7.46,14,Flop
Yashoda,31.68,40,Flop
Sardaar,94.86,45,Hit
Prince,46.65,60,Flop
PS1,498.18,250,Blockbuster
Naane Varuvean,43.6,45,Flop
Vendhu Thanindhathu Kaadu,56.25,40,Average
Sinam,13.4,12,Average
Brahmastra,415.0,410,Hit
Brahmastra (Tamil),8.5,410,Hit
Captain,10.1,20,Flop
Cobra,68.45,90,Flop
Thiruchitrambalam,106.05,40,Super Hit
Liger ( All Languages),69.74,110,Disaster
Viruman,53.65,30,Hit
Sita Ramam (Tamil),10.5,30,Hit
Sita Ramam (All Languages),93.07,30,Super Hit
Gulu Gulu,11.35,10,Hit
Legend,16.51,45,Flop
Vikrant Rona (Tamil),3.58,95,Flop
Vikrant Rona (All Languages),113.9,95,Average
Iravin Nizhal,22.93,15,Hit
Gargi,8.92,5,Average
Yaanai,36.3,15,Hit
Rocketery,41.99,60,Flop
Vikram,447.65,150,All Time Blockbuster
Don,113.56,50,Super Hit
Kaathu Vaakula Rendu Kadhal,64.1,40,Hit
Beast,237.05,150,Super Hit
KGF Chapter 2,1235.0,100,All Time Blockbuster
RRR,1151.0,600,All Time Blockbuster
Etharkkum Thunindhavan,103.42,75,Hit
Valimai,200.25,150,Super Hit
FIR,12.0,20,Flop
Aaratu,17.8,18,Flop
Veerame Vaagai Soodum,9.0,20,Flop
Bangarraju,63.65,35,Hit
Pushpa,352.0,180,Super Hit
