Movie Name,Box Office,Budget,Verdict
Thaai Kizhavi,69 Crore,18 Crore,Hit
With Love,32 Crore,8 Crore,Hit
Pookie,0.2 Crore,8 Crore,Flop
Manakantha ( Re Release),16 Crore,24 Crore,Blockbuster
Parasakthi,86.3 Crore,150 Crore,Flop
Thalaivar Thambi Thalaimaiyil,24 Crore,20 Crore,Hit
Vaa Vaathiyaar 2,12 Crore,60 Crore,Flop
The Raja Saab,202 Crore,400 Crore,Flop
Padayappa ( Re Release),12 Crore,5 Crore,All Time Blockbuster
Revolver Rita,4 Crore,8 Crore,Flop
Tere Ishq Mein,135 Crore,85 Crore,Hit
Kaantha,31.8 Crore,50 Crore,Flop
Aan Paavam Pollathathu,16 Crore,12 Crore,Hit
Aaryan,8 Crore,12 Crore,Flop
Dude,116.3  Crore,60 Crore,Average
Bison,62.2 Crore,30 Crore,Hit
Idly Kadai,70.65 Crore,100 Crore,Flop
Kantara Chapter 1 (Tamil),71.65 Crore,125 Crore,Blockbuster
Madharaasi,94.6 Crore,180 Crore,Flop
Coolie,515.9 Crore,400 Crore,Hit
Lokah: Chapter 1,295.35 Crore,105 Crore,Blockbuster
Thalaivan Thalaivii,82 Crore,25 Crore,Super Hit
Maargan,19 Crore,26 Crore,Flop
Kuberaa,138.45 Crore,130 Crore,Hit
ThugLife,84.75 Crore,210 Crore,Flop
Retro,98.9 Crore,160 Crore,Flop
Tourist Family,78.1 Crore,16 Crore,Super Hit
Sachein ( Re Release),13.6 Crore,6 Crore,Super Hit
Gangers,13.15 Crore,16 Crore,Flop
Good Bad Ugly,245.35 Crore,200 Crore,Hit
Veera Dheera Sooran Part 2,65.5 Crore,72 Crore,Average
L2: Empuraan,260.75 Crore,150 Crore,Hit
Dragon,147.5 Crore,55 Crore,Super Hit
Kingston,4.75 Crore,20 Crore,Flop
Nilavuku Enmel Ennadi Kobam,12.9 Crore,32 Crore,Flop
Vidaamuyarchi,144.25 Crore,185 Crore,Flop
Madha Gaja Raja,56.15 Crore,15 Crore,Super Hit
Kadhalikka Neramillai,9.75 Crore,15 Crore,Flop
Viduthalai Part 2,53.6 Crore,50 Crore,Average
